title,genres,director,cast,vote_average,metadata
"Yours, Mine and Ours",Comedy|Drama|Family,Melville Shavelson,Lucille Ball|Henry Fonda|Van Johnson,6.2,Comedy|Drama|Family Melville Shavelson Lucille Ball|Henry Fonda|Van Johnson
Kicking & Screaming,Romance|Comedy|Family,Jesse Dylan,Will Ferrell|Robert Duvall|Kate Walsh,5.6,Romance|Comedy|Family Jesse Dylan Will Ferrell|Robert Duvall|Kate Walsh
The Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Family|Science Fiction,Garth Jennings,Martin Freeman|Zooey Deschanel|Sam Rockwell,6.6,Adventure|Comedy|Family|Science Fiction Garth Jennings Martin Freeman|Zooey Deschanel|Sam Rockwell
Fat Albert,Comedy|Drama|Family,Joel Zwick,Kenan Thompson|Shedrack Anderson III|Jermaine Williams,4.3,Comedy|Drama|Family Joel Zwick Kenan Thompson|Shedrack Anderson III|Jermaine Williams
Resident Evil: Extinction,Horror|Action|Science Fiction,Russell Mulcahy,Milla Jovovich|Oded Fehr|Ali Larter,6.1,Horror|Action|Science Fiction Russell Mulcahy Milla Jovovich|Oded Fehr|Ali Larter
Blended,Comedy,Frank Coraci,Drew Barrymore|Adam Sandler|Wendi McLendon-Covey,6.6,Comedy Frank Coraci Drew Barrymore|Adam Sandler|Wendi McLendon-Covey
Last Holiday,Adventure|Comedy|Drama,Wayne Wang,Queen Latifah|LL Cool J|Timothy Hutton,6.4,Adventure|Comedy|Drama Wayne Wang Queen Latifah|LL Cool J|Timothy Hutton
The River Wild,Action|Adventure|Crime|Thriller,Curtis Hanson,Meryl Streep|David Strathairn|Kevin Bacon,6.1,Action|Adventure|Crime|Thriller Curtis Hanson Meryl Streep|David Strathairn|Kevin Bacon
The Indian in the Cupboard,Adventure|Family|Fantasy,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse,5.9,Adventure|Family|Fantasy Frank Oz Hal Scardino|Litefoot|Lindsay Crouse
Savages,Crime|Drama|Thriller,Oliver Stone,Blake Lively|Taylor Kitsch|Aaron Taylor-Johnson,6.2,Crime|Drama|Thriller Oliver Stone Blake Lively|Taylor Kitsch|Aaron Taylor-Johnson
Cellular,Action|Adventure|Crime|Thriller,David R. Ellis,Chris Evans|Kim Basinger|Jason Statham,6.1,Action|Adventure|Crime|Thriller David R. Ellis Chris Evans|Kim Basinger|Jason Statham
Johnny English,Adventure|Action|Comedy,Peter Howitt,Rowan Atkinson|John Malkovich|Natalie Imbruglia,6.0,Adventure|Action|Comedy Peter Howitt Rowan Atkinson|John Malkovich|Natalie Imbruglia
The Ant Bully,Fantasy|Adventure|Animation|Comedy|Family,John A. Davis,Julia Roberts|Meryl Streep|Nicolas Cage,5.5,Fantasy|Adventure|Animation|Comedy|Family John A. Davis Julia Roberts|Meryl Streep|Nicolas Cage
Dune,Action|Science Fiction|Adventure,David Lynch,Kyle MacLachlan|Francesca Annis|Leonardo Cimino,6.5,Action|Science Fiction|Adventure David Lynch Kyle MacLachlan|Francesca Annis|Leonardo Cimino
Across the Universe,Adventure|Drama|Music|Romance,Julie Taymor,Evan Rachel Wood|Jim Sturgess|Joe Anderson,7.1,Adventure|Drama|Music|Romance Julie Taymor Evan Rachel Wood|Jim Sturgess|Joe Anderson
Revolutionary Road,Drama|Romance,Sam Mendes,Leonardo DiCaprio|Kate Winslet|Michael Shannon,6.7,Drama|Romance Sam Mendes Leonardo DiCaprio|Kate Winslet|Michael Shannon
16 Blocks,Action|Adventure|Crime|Thriller,Richard Donner,Bruce Willis|Yasiin Bey|David Morse,6.2,Action|Adventure|Crime|Thriller Richard Donner Bruce Willis|Yasiin Bey|David Morse
Babylon A.D.,Action|Adventure|Science Fiction|Thriller,Mathieu Kassovitz,Vin Diesel|Michelle Yeoh|Mélanie Thierry,5.4,Action|Adventure|Science Fiction|Thriller Mathieu Kassovitz Vin Diesel|Michelle Yeoh|Mélanie Thierry
The Glimmer Man,Action|Adventure|Crime|Drama|Thriller,John Gray,Steven Seagal|Keenen Ivory Wayans|Bob Gunton,4.7,Action|Adventure|Crime|Drama|Thriller John Gray Steven Seagal|Keenen Ivory Wayans|Bob Gunton
Multiplicity,Comedy|Fantasy|Science Fiction,Harold Ramis,Michael Keaton|Andie MacDowell|Harris Yulin,5.5,Comedy|Fantasy|Science Fiction Harold Ramis Michael Keaton|Andie MacDowell|Harris Yulin
Aliens in the Attic,Adventure|Comedy|Family|Fantasy|Science Fiction,John Schultz,Carter Jenkins|Austin Butler|Kevin Nealon,5.3,Adventure|Comedy|Family|Fantasy|Science Fiction John Schultz Carter Jenkins|Austin Butler|Kevin Nealon
The Pledge,Crime|Drama|Mystery|Thriller,Sean Penn,Jack Nicholson|Aaron Eckhart|Helen Mirren,6.5,Crime|Drama|Mystery|Thriller Sean Penn Jack Nicholson|Aaron Eckhart|Helen Mirren
The Producers,Comedy|Music,Susan Stroman,Matthew Broderick|Uma Thurman|Will Ferrell,6.1,Comedy|Music Susan Stroman Matthew Broderick|Uma Thurman|Will Ferrell
The Phantom,Adventure|Action,Simon Wincer,Billy Zane|Kristy Swanson|Treat Williams,4.7,Adventure|Action Simon Wincer Billy Zane|Kristy Swanson|Treat Williams
All the Pretty Horses,Drama|Romance|Western,Billy Bob Thornton,Matt Damon|Henry Thomas|Penélope Cruz,5.8,Drama|Romance|Western Billy Bob Thornton Matt Damon|Henry Thomas|Penélope Cruz
Nixon,History|Drama,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,7.1,History|Drama Oliver Stone Anthony Hopkins|Joan Allen|Powers Boothe
The Ghost Writer,Thriller|Mystery,Roman Polanski,Ewan McGregor|Pierce Brosnan|Jon Bernthal,6.7,Thriller|Mystery Roman Polanski Ewan McGregor|Pierce Brosnan|Jon Bernthal
Deep Rising,Adventure|Action|Horror|Science Fiction,Stephen Sommers,Treat Williams|Famke Janssen|Anthony Heald,6.0,Adventure|Action|Horror|Science Fiction Stephen Sommers Treat Williams|Famke Janssen|Anthony Heald
Miracle at St. Anna,Drama|War,Spike Lee,Derek Luke|Michael Ealy|Laz Alonso,6.3,Drama|War Spike Lee Derek Luke|Michael Ealy|Laz Alonso
Curse of the Golden Flower,Action|Drama|Fantasy,Zhang Yimou,Chow Yun-fat|Gong Li|Jay Chou,6.6,Action|Drama|Fantasy Zhang Yimou Chow Yun-fat|Gong Li|Jay Chou
Bangkok Dangerous,Action|Crime|Thriller,Danny Pang,Nicolas Cage|Shahkrit Yamnarm|Charlie Yeung,5.0,Action|Crime|Thriller Danny Pang Nicolas Cage|Shahkrit Yamnarm|Charlie Yeung
Big Trouble,Action|Comedy|Thriller,Barry Sonnenfeld,Tim Allen|Rene Russo|Patrick Warburton,6.3,Action|Comedy|Thriller Barry Sonnenfeld Tim Allen|Rene Russo|Patrick Warburton
Love in the Time of Cholera,Drama|Romance,Mike Newell,Javier Bardem|Unax Ugalde|Benjamin Bratt,6.4,Drama|Romance Mike Newell Javier Bardem|Unax Ugalde|Benjamin Bratt
Shadow Conspiracy,Action|Thriller,George P. Cosmatos,Charlie Sheen|Donald Sutherland|Linda Hamilton,4.0,Action|Thriller George P. Cosmatos Charlie Sheen|Donald Sutherland|Linda Hamilton
Johnny English Reborn,Crime|Adventure|Action|Comedy|Thriller,Oliver Parker,Rowan Atkinson|Dominic West|Gillian Anderson,6.0,Crime|Adventure|Action|Comedy|Thriller Oliver Parker Rowan Atkinson|Dominic West|Gillian Anderson
Foodfight!,Animation|Action|Comedy|Family,Lawrence Kasanoff,Charlie Sheen|Wayne Brady|Hilary Duff,2.3,Animation|Action|Comedy|Family Lawrence Kasanoff Charlie Sheen|Wayne Brady|Hilary Duff
Argo,Drama|Thriller,Ben Affleck,Ben Affleck|Bryan Cranston|Alan Arkin,7.1,Drama|Thriller Ben Affleck Ben Affleck|Bryan Cranston|Alan Arkin
The Fugitive,Adventure|Action|Thriller|Crime|Mystery,Andrew Davis,Harrison Ford|Tommy Lee Jones|Sela Ward,7.2,Adventure|Action|Thriller|Crime|Mystery Andrew Davis Harrison Ford|Tommy Lee Jones|Sela Ward
The Bounty Hunter,Action,Andy Tennant,Gerard Butler|Jennifer Aniston|Gio Perez,5.5,Action Andy Tennant Gerard Butler|Jennifer Aniston|Gio Perez
Sleepers,Crime|Drama|Thriller,Barry Levinson,Robert De Niro|Brad Pitt|Kevin Bacon,7.3,Crime|Drama|Thriller Barry Levinson Robert De Niro|Brad Pitt|Kevin Bacon
Rambo: First Blood Part II,Action|Adventure|Thriller|War,George P. Cosmatos,Sylvester Stallone|Richard Crenna|Charles Napier,6.3,Action|Adventure|Thriller|War George P. Cosmatos Sylvester Stallone|Richard Crenna|Charles Napier
The Juror,Drama|Thriller,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt,5.5,Drama|Thriller Brian Gibson Demi Moore|Alec Baldwin|Joseph Gordon-Levitt
Pinocchio,Animation|Family,Ben Sharpsteen,Mel Blanc|Don Brodie|Walter Catlett,6.9,Animation|Family Ben Sharpsteen Mel Blanc|Don Brodie|Walter Catlett
Heaven's Gate,Action|Drama|History|Western,Michael Cimino,Kris Kristofferson|Christopher Walken|John Hurt,6.4,Action|Drama|History|Western Michael Cimino Kris Kristofferson|Christopher Walken|John Hurt
Underworld: Evolution,Fantasy|Action|Science Fiction|Thriller,Len Wiseman,Kate Beckinsale|Scott Speedman|Tony Curran,6.4,Fantasy|Action|Science Fiction|Thriller Len Wiseman Kate Beckinsale|Scott Speedman|Tony Curran
Victor Frankenstein,Drama|Science Fiction|Thriller,Paul McGuigan,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay,5.6,Drama|Science Fiction|Thriller Paul McGuigan James McAvoy|Daniel Radcliffe|Jessica Brown Findlay
Finding Forrester,Drama,Gus Van Sant,Sean Connery|Rob Brown|F. Murray Abraham,7.0,Drama Gus Van Sant Sean Connery|Rob Brown|F. Murray Abraham
28 Days,Comedy|Drama,Betty Thomas,Sandra Bullock|Viggo Mortensen|Dominic West,6.0,Comedy|Drama Betty Thomas Sandra Bullock|Viggo Mortensen|Dominic West
Unleashed,Action|Crime,Louis Leterrier,Jet Li|Morgan Freeman|Bob Hoskins,6.6,Action|Crime Louis Leterrier Jet Li|Morgan Freeman|Bob Hoskins
The Sweetest Thing,Romance|Comedy,Roger Kumble,Cameron Diaz|Christina Applegate|Thomas Jane,5.3,Romance|Comedy Roger Kumble Cameron Diaz|Christina Applegate|Thomas Jane
The Firm,Drama|Mystery|Thriller,Sydney Pollack,Tom Cruise|Jeanne Tripplehorn|Gene Hackman,6.6,Drama|Mystery|Thriller Sydney Pollack Tom Cruise|Jeanne Tripplehorn|Gene Hackman
Charlie St. Cloud,Drama,Burr Steers,Zac Efron|Amanda Crew|Charlie Tahan,6.8,Drama Burr Steers Zac Efron|Amanda Crew|Charlie Tahan
The Mechanic,Action|Thriller|Crime,Simon West,Jason Statham|Ben Foster|Donald Sutherland,6.3,Action|Thriller|Crime Simon West Jason Statham|Ben Foster|Donald Sutherland
21 Jump Street,Action|Comedy|Crime,Phil Lord,Channing Tatum|Jonah Hill|Brie Larson,6.7,Action|Comedy|Crime Phil Lord Channing Tatum|Jonah Hill|Brie Larson
Notting Hill,Romance|Comedy|Drama,Roger Michell,Julia Roberts|Hugh Grant|Gina McKee,7.0,Romance|Comedy|Drama Roger Michell Julia Roberts|Hugh Grant|Gina McKee
Chicken Run,Animation|Comedy|Family,Nick Park,Mel Gibson|Miranda Richardson|Timothy Spall,6.5,Animation|Comedy|Family Nick Park Mel Gibson|Miranda Richardson|Timothy Spall
Along Came Polly,Comedy|Romance,John Hamburg,Ben Stiller|Jennifer Aniston|Philip Seymour Hoffman,5.8,Comedy|Romance John Hamburg Ben Stiller|Jennifer Aniston|Philip Seymour Hoffman
Boomerang,Comedy|Romance,Reginald Hudlin,Eddie Murphy|Robin Givens|Halle Berry,5.4,Comedy|Romance Reginald Hudlin Eddie Murphy|Robin Givens|Halle Berry
The Heat,Action|Comedy|Crime,Paul Feig,Sandra Bullock|Melissa McCarthy|Demián Bichir,6.5,Action|Comedy|Crime Paul Feig Sandra Bullock|Melissa McCarthy|Demián Bichir
Cleopatra,Drama|History|Romance,Joseph L. Mankiewicz,Elizabeth Taylor|Richard Burton|Rex Harrison,6.7,Drama|History|Romance Joseph L. Mankiewicz Elizabeth Taylor|Richard Burton|Rex Harrison
Here Comes the Boom,Comedy,Frank Coraci,Salma Hayek|Kevin James|Henry Winkler,6.0,Comedy Frank Coraci Salma Hayek|Kevin James|Henry Winkler
High Crimes,Drama|Mystery|Thriller|Crime,Carl Franklin,Ashley Judd|Morgan Freeman|Jim Caviezel,6.1,Drama|Mystery|Thriller|Crime Carl Franklin Ashley Judd|Morgan Freeman|Jim Caviezel
The Mirror Has Two Faces,Comedy|Drama|Romance,Barbra Streisand,Barbra Streisand|Jeff Bridges|Lauren Bacall,6.5,Comedy|Drama|Romance Barbra Streisand Barbra Streisand|Jeff Bridges|Lauren Bacall
The Mothman Prophecies,Drama|Horror|Mystery,Mark Pellington,Richard Gere|Laura Linney|Will Patton,6.1,Drama|Horror|Mystery Mark Pellington Richard Gere|Laura Linney|Will Patton
Brüno,Comedy,Larry Charles,Sacha Baron Cohen|Richard Bey|Ron Paul,5.4,Comedy Larry Charles Sacha Baron Cohen|Richard Bey|Ron Paul
Licence to Kill,Adventure|Action|Thriller,John Glen,Timothy Dalton|Carey Lowell|Robert Davi,5.9,Adventure|Action|Thriller John Glen Timothy Dalton|Carey Lowell|Robert Davi
Red Riding Hood,Fantasy|Thriller|Horror,Catherine Hardwicke,Amanda Seyfried|Gary Oldman|Billy Burke,5.6,Fantasy|Thriller|Horror Catherine Hardwicke Amanda Seyfried|Gary Oldman|Billy Burke
15 Minutes,Action|Crime|Thriller,John Herzfeld,Robert De Niro|Charlize Theron|Edward Burns,5.7,Action|Crime|Thriller John Herzfeld Robert De Niro|Charlize Theron|Edward Burns
Super Mario Bros.,Adventure|Comedy|Family|Fantasy,Annabel Jankel,Bob Hoskins|John Leguizamo|Dennis Hopper,4.0,Adventure|Comedy|Family|Fantasy Annabel Jankel Bob Hoskins|John Leguizamo|Dennis Hopper
Lord of War,Crime|Drama|Thriller,Andrew Niccol,Nicolas Cage|Bridget Moynahan|Jared Leto,7.0,Crime|Drama|Thriller Andrew Niccol Nicolas Cage|Bridget Moynahan|Jared Leto
Hero,Drama|Adventure|Action|History,Zhang Yimou,Jet Li|Tony Leung Chiu-Wai|Maggie Cheung,7.2,Drama|Adventure|Action|History Zhang Yimou Jet Li|Tony Leung Chiu-Wai|Maggie Cheung
One for the Money,Action|Comedy|Crime,Julie Anne Robinson,Katherine Heigl|Jason O'Mara|Daniel Sunjata,5.3,Action|Comedy|Crime Julie Anne Robinson Katherine Heigl|Jason O'Mara|Daniel Sunjata
The Interview,Action|Comedy,Seth Rogen,James Franco|Seth Rogen|Lizzy Caplan,6.1,Action|Comedy Seth Rogen James Franco|Seth Rogen|Lizzy Caplan
The Warrior's Way,Adventure|Fantasy|Action|Western|Thriller,Sngmoo Lee,Kate Bosworth|Jang Dong-gun|Geoffrey Rush,6.3,Adventure|Fantasy|Action|Western|Thriller Sngmoo Lee Kate Bosworth|Jang Dong-gun|Geoffrey Rush
Micmacs,Action|Comedy|Crime,Jean-Pierre Jeunet,Dany Boon|Dominique Pinon|André Dussollier,6.8,Action|Comedy|Crime Jean-Pierre Jeunet Dany Boon|Dominique Pinon|André Dussollier
8 Mile,Drama,Curtis Hanson,Eminem|Mekhi Phifer|Brittany Murphy,6.8,Drama Curtis Hanson Eminem|Mekhi Phifer|Brittany Murphy
Why I Did (Not) Eat My Father,Adventure|Comedy|Animation,Jamel Debbouze,Jamel Debbouze|Arié Elmaleh|Mélissa Theuriau,5.3,Adventure|Comedy|Animation Jamel Debbouze Jamel Debbouze|Arié Elmaleh|Mélissa Theuriau
A Knight's Tale,Adventure|Drama|Romance|Action,Brian Helgeland,Heath Ledger|Rufus Sewell|Shannyn Sossamon,6.6,Adventure|Drama|Romance|Action Brian Helgeland Heath Ledger|Rufus Sewell|Shannyn Sossamon
The Medallion,Thriller|Fantasy|Action|Comedy,Gordon Chan,Jackie Chan|Lee Evans|Claire Forlani,5.3,Thriller|Fantasy|Action|Comedy Gordon Chan Jackie Chan|Lee Evans|Claire Forlani
The Sixth Sense,Mystery|Thriller|Drama,M. Night Shyamalan,Bruce Willis|Toni Collette|Olivia Williams,7.7,Mystery|Thriller|Drama M. Night Shyamalan Bruce Willis|Toni Collette|Olivia Williams
Man on a Ledge,Action|Thriller|Crime,Asger Leth,Sam Worthington|Elizabeth Banks|Jamie Bell,6.2,Action|Thriller|Crime Asger Leth Sam Worthington|Elizabeth Banks|Jamie Bell
The Big Year,Comedy,David Frankel,Owen Wilson|Steve Martin|Jack Black,5.6,Comedy David Frankel Owen Wilson|Steve Martin|Jack Black
The Karate Kid,Drama,John G. Avildsen,Ralph Macchio|Pat Morita|William Zabka,6.9,Drama John G. Avildsen Ralph Macchio|Pat Morita|William Zabka
American Hustle,Drama|Crime,David O. Russell,Christian Bale|Bradley Cooper|Amy Adams,6.8,Drama|Crime David O. Russell Christian Bale|Bradley Cooper|Amy Adams
The Proposal,Comedy|Romance|Drama,Anne Fletcher,Sandra Bullock|Ryan Reynolds|Mary Steenburgen,6.7,Comedy|Romance|Drama Anne Fletcher Sandra Bullock|Ryan Reynolds|Mary Steenburgen
Double Jeopardy,Crime|Drama|Mystery|Thriller,Bruce Beresford,Tommy Lee Jones|Ashley Judd|Bruce Greenwood,6.2,Crime|Drama|Mystery|Thriller Bruce Beresford Tommy Lee Jones|Ashley Judd|Bruce Greenwood
Back to the Future Part II,Adventure|Comedy|Family|Science Fiction,Robert Zemeckis,Michael J. Fox|Christopher Lloyd|Lea Thompson,7.4,Adventure|Comedy|Family|Science Fiction Robert Zemeckis Michael J. Fox|Christopher Lloyd|Lea Thompson
Lucy,Action|Science Fiction,Luc Besson,Scarlett Johansson|Morgan Freeman|Choi Min-sik,6.3,Action|Science Fiction Luc Besson Scarlett Johansson|Morgan Freeman|Choi Min-sik
Fifty Shades of Grey,Drama|Romance|Thriller,Sam Taylor-Johnson,Dakota Johnson|Jamie Dornan|Jennifer Ehle,5.2,Drama|Romance|Thriller Sam Taylor-Johnson Dakota Johnson|Jamie Dornan|Jennifer Ehle
Spy Kids 3-D: Game Over,Action|Adventure|Comedy|Family|Science Fiction,Robert Rodriguez,Antonio Banderas|Carla Gugino|Alexa PenaVega,4.7,Action|Adventure|Comedy|Family|Science Fiction Robert Rodriguez Antonio Banderas|Carla Gugino|Alexa PenaVega
A Time to Kill,Crime|Drama|Thriller,Joel Schumacher,Matthew McConaughey|Sandra Bullock|Samuel L. Jackson,7.0,Crime|Drama|Thriller Joel Schumacher Matthew McConaughey|Sandra Bullock|Samuel L. Jackson
Cheaper by the Dozen,Comedy,Shawn Levy,Steve Martin|Bonnie Hunt|Piper Perabo,6.0,Comedy Shawn Levy Steve Martin|Bonnie Hunt|Piper Perabo
Lone Survivor,Action|Drama|Thriller|War,Peter Berg,Mark Wahlberg|Taylor Kitsch|Emile Hirsch,7.4,Action|Drama|Thriller|War Peter Berg Mark Wahlberg|Taylor Kitsch|Emile Hirsch
A League of Their Own,Comedy,Penny Marshall,Tom Hanks|Geena Davis|Madonna,6.7,Comedy Penny Marshall Tom Hanks|Geena Davis|Madonna
The Conjuring 2,Horror,James Wan,Patrick Wilson|Vera Farmiga|Madison Wolfe,7.0,Horror James Wan Patrick Wilson|Vera Farmiga|Madison Wolfe
The Social Network,Drama,David Fincher,Jesse Eisenberg|Andrew Garfield|Justin Timberlake,7.1,Drama David Fincher Jesse Eisenberg|Andrew Garfield|Justin Timberlake
He's Just Not That Into You,Comedy|Romance|Drama,Ken Kwapis,Ben Affleck|Jennifer Aniston|Drew Barrymore,6.2,Comedy|Romance|Drama Ken Kwapis Ben Affleck|Jennifer Aniston|Drew Barrymore
Scary Movie 4,Comedy,David Zucker,Anna Faris|Regina Hall|Craig Bierko,5.3,Comedy David Zucker Anna Faris|Regina Hall|Craig Bierko
Scream 3,Horror|Mystery,Wes Craven,David Arquette|Neve Campbell|Courteney Cox,5.7,Horror|Mystery Wes Craven David Arquette|Neve Campbell|Courteney Cox
Back to the Future Part III,Adventure|Comedy|Family|Science Fiction,Robert Zemeckis,Michael J. Fox|Christopher Lloyd|Mary Steenburgen,7.1,Adventure|Comedy|Family|Science Fiction Robert Zemeckis Michael J. Fox|Christopher Lloyd|Mary Steenburgen
Get Hard,Comedy,Etan Cohen,Will Ferrell|Kevin Hart|Alison Brie,5.9,Comedy Etan Cohen Will Ferrell|Kevin Hart|Alison Brie
Dracula,Romance|Horror,Francis Ford Coppola,Gary Oldman|Winona Ryder|Anthony Hopkins,7.1,Romance|Horror Francis Ford Coppola Gary Oldman|Winona Ryder|Anthony Hopkins
Julie & Julia,Romance|Drama,Nora Ephron,Meryl Streep|Amy Adams|Stanley Tucci,6.6,Romance|Drama Nora Ephron Meryl Streep|Amy Adams|Stanley Tucci
42,Drama,Brian Helgeland,Chadwick Boseman|T.R. Knight|Harrison Ford,6.8,Drama Brian Helgeland Chadwick Boseman|T.R. Knight|Harrison Ford
The Talented Mr. Ripley,Thriller|Crime|Drama,Anthony Minghella,Matt Damon|Gwyneth Paltrow|Jude Law,7.0,Thriller|Crime|Drama Anthony Minghella Matt Damon|Gwyneth Paltrow|Jude Law
Dumb and Dumber To,Comedy,Bobby Farrelly,Jim Carrey|Jeff Daniels|Rachel Melvin,5.4,Comedy Bobby Farrelly Jim Carrey|Jeff Daniels|Rachel Melvin
Eight Below,Adventure|Drama|Family,Frank Marshall,Paul Walker|Bruce Greenwood|Moon Bloodgood,6.7,Adventure|Drama|Family Frank Marshall Paul Walker|Bruce Greenwood|Moon Bloodgood
The Intern,Comedy,Nancy Meyers,Robert De Niro|Anne Hathaway|Rene Russo,7.1,Comedy Nancy Meyers Robert De Niro|Anne Hathaway|Rene Russo
Ride Along 2,Action|Comedy,Tim Story,Kevin Hart|Ice Cube|Olivia Munn,6.1,Action|Comedy Tim Story Kevin Hart|Ice Cube|Olivia Munn
The Last of the Mohicans,Action|Adventure|Drama|History|Romance|War,Michael Mann,Daniel Day-Lewis|Madeleine Stowe|Russell Means,7.1,Action|Adventure|Drama|History|Romance|War Michael Mann Daniel Day-Lewis|Madeleine Stowe|Russell Means
Ray,Drama|Music,Taylor Hackford,Jamie Foxx|Kerry Washington|Regina King,7.2,Drama|Music Taylor Hackford Jamie Foxx|Kerry Washington|Regina King
Sin City,Action|Thriller|Crime,Robert Rodriguez,Jessica Alba|Devon Aoki|Clive Owen,7.2,Action|Thriller|Crime Robert Rodriguez Jessica Alba|Devon Aoki|Clive Owen
Vantage Point,Drama|Action|Thriller|Crime,Pete Travis,Dennis Quaid|Matthew Fox|Forest Whitaker,6.2,Drama|Action|Thriller|Crime Pete Travis Dennis Quaid|Matthew Fox|Forest Whitaker
"I Love You, Man",Comedy,John Hamburg,Paul Rudd|Jason Segel|Rashida Jones,6.5,Comedy John Hamburg Paul Rudd|Jason Segel|Rashida Jones
Shallow Hal,Comedy|Romance,Bobby Farrelly,Gwyneth Paltrow|Jack Black|Jason Alexander,5.7,Comedy|Romance Bobby Farrelly Gwyneth Paltrow|Jack Black|Jason Alexander
JFK,Drama|Thriller|History,Oliver Stone,Kevin Costner|Tommy Lee Jones|Gary Oldman,7.5,Drama|Thriller|History Oliver Stone Kevin Costner|Tommy Lee Jones|Gary Oldman
Big Momma's House 2,Comedy|Crime,John Whitesell,Martin Lawrence|Nia Long|Emily Procter,5.4,Comedy|Crime John Whitesell Martin Lawrence|Nia Long|Emily Procter
The Mexican,Action|Comedy|Crime|Romance,Gore Verbinski,Brad Pitt|Julia Roberts|James Gandolfini,5.8,Action|Comedy|Crime|Romance Gore Verbinski Brad Pitt|Julia Roberts|James Gandolfini
17 Again,Comedy,Burr Steers,Zac Efron|Leslie Mann|Matthew Perry,6.1,Comedy Burr Steers Zac Efron|Leslie Mann|Matthew Perry
The Other Woman,Comedy|Romance,Nick Cassavetes,Cameron Diaz|Leslie Mann|Kate Upton,6.2,Comedy|Romance Nick Cassavetes Cameron Diaz|Leslie Mann|Kate Upton
The Final Destination,Horror|Mystery,David R. Ellis,Bobby Campo|Shantel VanSanten|Nick Zano,5.4,Horror|Mystery David R. Ellis Bobby Campo|Shantel VanSanten|Nick Zano
Bridge of Spies,Thriller|Drama,Steven Spielberg,Tom Hanks|Mark Rylance|Amy Ryan,7.2,Thriller|Drama Steven Spielberg Tom Hanks|Mark Rylance|Amy Ryan
Behind Enemy Lines,Action|Drama|Thriller|War,John Moore,Owen Wilson|Gene Hackman|Gabriel Macht,6.0,Action|Drama|Thriller|War John Moore Owen Wilson|Gene Hackman|Gabriel Macht
Get Him to the Greek,Comedy,Nicholas Stoller,Jonah Hill|Russell Brand|Rose Byrne,5.9,Comedy Nicholas Stoller Jonah Hill|Russell Brand|Rose Byrne
Shall We Dance?,Drama|Romance|Comedy,Peter Chelsom,Richard Gere|Jennifer Lopez|Susan Sarandon,5.9,Drama|Romance|Comedy Peter Chelsom Richard Gere|Jennifer Lopez|Susan Sarandon
Small Soldiers,Comedy|Adventure|Fantasy|Science Fiction|Action,Joe Dante,Gregory Smith|Kirsten Dunst|Denis Leary,6.2,Comedy|Adventure|Fantasy|Science Fiction|Action Joe Dante Gregory Smith|Kirsten Dunst|Denis Leary
Spawn,Action|Adventure|Fantasy|Horror|Science Fiction|Thriller,Mark A.Z. Dippé,Michael Jai White|Martin Sheen|John Leguizamo,5.0,Action|Adventure|Fantasy|Horror|Science Fiction|Thriller Mark A.Z. Dippé Michael Jai White|Martin Sheen|John Leguizamo
The Count of Monte Cristo,Action|Adventure|Drama|Thriller,Kevin Reynolds,Jim Caviezel|Guy Pearce|Richard Harris,7.3,Action|Adventure|Drama|Thriller Kevin Reynolds Jim Caviezel|Guy Pearce|Richard Harris
The Lincoln Lawyer,Crime|Drama|Thriller,Brad Furman,Matthew McConaughey|Marisa Tomei|Ryan Phillippe,7.0,Crime|Drama|Thriller Brad Furman Matthew McConaughey|Marisa Tomei|Ryan Phillippe
Unknown,Action|Mystery|Thriller,Jaume Collet-Serra,Liam Neeson|Diane Kruger|January Jones,6.5,Action|Mystery|Thriller Jaume Collet-Serra Liam Neeson|Diane Kruger|January Jones
The Prestige,Drama|Mystery|Thriller,Christopher Nolan,Hugh Jackman|Christian Bale|Michael Caine,8.0,Drama|Mystery|Thriller Christopher Nolan Hugh Jackman|Christian Bale|Michael Caine
Horrible Bosses 2,Comedy,Sean Anders,Jason Bateman|Jason Sudeikis|Charlie Day,6.1,Comedy Sean Anders Jason Bateman|Jason Sudeikis|Charlie Day
Escape from Planet Earth,Animation|Comedy|Adventure|Family|Science Fiction,Callan Brunker,Brendan Fraser|Rob Corddry|Ricky Gervais,5.7,Animation|Comedy|Adventure|Family|Science Fiction Callan Brunker Brendan Fraser|Rob Corddry|Ricky Gervais
Apocalypto,Action|Adventure|Drama|Thriller,Mel Gibson,Rudy Youngblood|Raoul Max Trujillo|Gerardo Taracena,7.3,Action|Adventure|Drama|Thriller Mel Gibson Rudy Youngblood|Raoul Max Trujillo|Gerardo Taracena
The Living Daylights,Action|Adventure|Thriller,John Glen,Timothy Dalton|Maryam d'Abo|Jeroen Krabbé,6.2,Action|Adventure|Thriller John Glen Timothy Dalton|Maryam d'Abo|Jeroen Krabbé
Predators,Action|Science Fiction|Adventure|Thriller,Nimród Antal,Topher Grace|Alice Braga|Laurence Fishburne,6.0,Action|Science Fiction|Adventure|Thriller Nimród Antal Topher Grace|Alice Braga|Laurence Fishburne
